number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
10, -1.385996910675624, 0.462025455360230, 0.000000239655523, 0.000002996075824, -0.000033555874693, -0.000041165826564, -0.000002636537998, -0.001344249725342, 38.772194828033449, 0.479804325103760, -13.585505399703980, 0.242543287277222, 1.609517469406128, -0.038548318862915, 0.447596900338382, 0.889997940875309, 0.086952171020519, 82.069946800421064, -0.784405351728748, 0.437451667909043, -0.439709315824553, -434.696579518424869, -0.429377757908781, 0.128606778520052, 0.893921158454101, 1223.460174778815144, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
11, -1.385996910675624, 0.646778490777738, 0.000001557979063, -0.000048805787190, -0.000033028523461, -0.000033795519308, -0.000002636537998, 0.159293592453003, 52.470771654129024, 0.634310121536255, -18.293310222625735, 0.351709775924683, 2.138347003936768, -0.040217077255249, 0.430611867078530, 0.895216105907066, 0.114723771101424, 109.168620883743998, -0.692042819441547, 0.409099578400248, -0.594738825882533, -587.588980527458034, -0.579353222128380, 0.176707834227374, 0.795691011217379, 1126.694654370423905, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
12, -1.386001494619275, 0.831605738467621, 0.000002786363606, -0.000022979768487, -0.000032213541967, -0.000024387867401, -0.000002516655695, 0.176096714019775, 64.366709598541263, 0.769447669982910, -22.431952667236327, 0.451632328033447, 2.600092451095581, -0.041885835647583, 0.409252915496395, 0.901766038881934, 0.139032594296761, 133.698649495195866, -0.573866657480536, 0.372859016350497, -0.729145536472834, -720.401553452439998, -0.709358238543698, 0.218618766452761, 0.670087102073197, 1002.912288616896490, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
13, -1.385993585005280, 1.016447367125108, 0.000003864922541, -0.000079994657263, -0.000031350651186, -0.000014321135536, -0.000002456769086, 0.291030065536499, 74.039930622100826, 0.872011346817017, -25.782219381332396, 0.529545507431030, 2.990915666580200, -0.044889600753784, 0.384116070558610, 0.909586146698903, 0.158454681445691, 153.081646148594274, -0.434225231871887, 0.329427173436816, -0.838406933062481, -828.309278253214643, -0.814802609436432, 0.253240555865115, 0.521503526853566, 856.503971859528747, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
14, -1.386003232312709, 1.201165019155481, 0.000004793655868, 0.000099409154425, -0.000030631662802, -0.000005992097106, -0.000002456769086, 0.264817195892334, 81.161093542098996, 0.954326400756836, -28.307574806213378, 0.590731563568115, 3.251075099945068, -0.045390228271484, 0.356310280373745, 0.917984225870957, 0.174206616269542, 167.354562596550835, -0.277991072744036, 0.282150354592206, -0.918211381370386, -907.747400590170855, -0.892056022665956, 0.278740270602567, 0.355724491664271, 692.760550521114055, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
15, -1.385994783501059, 1.386028728791433, 0.000005213189387, -0.000039188423066, -0.000030104311569, 0.000002336941324, -0.000002426771239, 0.284308816909790, 85.591740636825563, 1.004947957992554, -29.772518653869628, 0.628587684631348, 3.456666133880615, -0.043888345718384, 0.326891306206946, 0.927286743698208, 0.182431819833851, 175.564178245179335, -0.110721459206865, 0.229285073365280, -0.967041422899237, -955.983761903007576, -0.938553585256281, 0.295918316589987, 0.177621838491580, 516.992270590479961, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
16, -1.201187729270599, 0.092386209903870, -0.000005542674824, -0.000029001808898, -0.000030152308123, -0.000074811574806, -0.000002876248062, -0.162654216766357, 8.035924858093262, 0.100802927017212, -2.878825950622558, -0.011885061264038, 0.420193363189697, -0.034376422882080, 0.616574360662933, 0.786371968160371, 0.038146893250693, 36.018103489164680, -0.782308046312659, 0.617393776367834, -0.082577512536623, -84.229968259600639, -0.088488295539958, 0.021072555465557, 0.995854291027851, 1323.588041449474076, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
17, -1.201188418348404, 0.277218850552052, -0.000005392849216, 0.000006171866019, -0.000029912674417, -0.000075230999241, -0.000002816306911, -0.048392990112305, 23.747515647888182, 0.306810655593872, -8.383370065689085, 0.118410425186157, 1.032627693176269, -0.037547063827515, 0.606409652572813, 0.788333226401427, 0.103913701781990, 100.175529825372493, -0.749967564182128, 0.610471161809958, -0.254702990310530, -252.904078818145166, -0.264227148380417, 0.076522446052878, 0.961419954707014, 1289.808033849381218, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
18, -1.201194440388815, 0.461999479515919, -0.000004254349130, -0.000077987365001, -0.000029720862732, -0.000069448559811, -0.000002636537998, 0.018147371292114, 38.739932834625243, 0.472761325836182, -13.551170778274535, 0.238141412734985, 1.631044452667236, -0.039883325576782, 0.584051628467017, 0.794741970491267, 0.165132963470908, 160.340851265782163, -0.689096283148875, 0.592969572604214, -0.416573401114355, -412.417684810275318, -0.428987188428083, 0.129507861943721, 0.893978582438827, 1223.361564023150549, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
19, -1.201192942350903, 0.646781366916718, -0.000003055962434, -0.000011055460885, -0.000029529138314, -0.000062737441596, -0.000002576596847, 0.146523220062256, 52.480181402206419, 0.637391433715820, -18.318841094970704, 0.355671463012695, 2.145522665023804, -0.041218332290649, 0.550064183326544, 0.805027379960582, 0.222171806796233, 216.289197362148911, -0.601125187759204, 0.566345833653436, -0.563827017217919, -557.907027500006393, -0.579722263556234, 0.176587978688229, 0.795448793399073, 1126.489704334449925, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
