number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
10, -1.385996101715517, 0.462014999147235, 0.000036072464939, 0.000020133518271, -0.000072720277665, -0.000004104578064, -0.000031818115809, 0.229866703033447, 49.139048709869385, 0.437546329498291, -19.671096954345703, 0.303729343414307, 3.175480344772339, -0.114810577392578, 0.156253873835470, 0.984038747461879, 0.085161437312113, 81.383257523834175, -0.880456512187211, 0.177842567488630, -0.439509216440547, -436.219935711161213, -0.447639427506716, -0.006305924413446, 0.894191913550302, 1224.646650279896221, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
11, -1.386002543289446, 0.646811597164700, 0.000037151078416, 0.000020373173794, -0.000072672368377, 0.000117565269197, -0.000031758229199, 0.280948192596436, 66.576656147003177, 0.576205377578735, -26.560030612945557, 0.422579956054688, 4.276360256195068, -0.119316225051880, 0.139247396529585, 0.983776722762822, 0.113108453750256, 109.341148935505402, -0.783544931235381, 0.179303845822794, -0.594901228447629, -589.758429800791305, -0.605530761642276, -0.005787108362300, 0.795800858306730, 1127.303232239153431, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
12, -1.386002872829425, 0.831627939219305, 0.000038529234025, 0.000017257270209, -0.000072384738117, -0.000089552080236, -0.000031698233506, 0.364963800430298, 81.644351318359384, 0.704299926757812, -32.551422052383423, 0.518540821075439, 5.396264013290406, -0.121485610961914, 0.117270693526448, 0.983707818274408, 0.136258991283622, 133.587698933734885, -0.659875403681333, 0.179721844095133, -0.729564603288457, -722.560011084790062, -0.742167121379157, -0.004357409878506, 0.670200698987197, 1003.049946490604611, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
13, -1.385994274137626, 1.016360002160588, 0.000039368191978, 0.000017856463557, -0.000072240922987, -0.000135961039492, -0.000031638346896, 0.469143154144287, 94.007416042327890, 0.804662666320801, -37.409330797195437, 0.594253063201904, 6.117501390457154, -0.123321245193481, 0.089479021904602, 0.983536455384298, 0.157001737471555, 152.801454570625424, -0.514126657526802, 0.180620149175470, -0.838480853527467, -830.555787477897979, -0.853034163828926, -0.005692331852777, 0.521824024646972, 856.306568597710225, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
14, -1.385996820791168, 1.201155791272487, 0.000040147154239, 0.000020493056097, -0.000072240922987, -0.000123078000716, -0.000031698288048, 0.499388772964478, 103.015233451843258, 0.881695470809936, -40.971327676773072, 0.653238182067871, 6.684545492172241, -0.125156879425049, 0.060384348967668, 0.983198842243137, 0.172260752963367, 167.704145537720109, -0.350310908240244, 0.182472778369885, -0.918687080959491, -910.101687002704352, -0.934684972580413, -0.004870499535999, 0.355443779333137, 691.692355021913841, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
15, -1.385995562463320, 1.386031964522780, 0.000041105885413, -0.000037031305196, -0.000072192926432, -0.000110374730853, -0.000031638346896, 0.498044523239136, 108.566312692642214, 0.933197402954102, -43.144533138275150, 0.700778427124023, 7.052172966003418, -0.125991258621216, 0.027119383826719, 0.983440884796208, 0.179188630030230, 176.118006939075968, -0.175466920784902, 0.181154622314592, -0.967674719378533, -958.127783903321415, -0.984111730816742, -0.005198935016830, 0.177474145563704, 515.499263046748752, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
16, -1.201187429619384, 0.092389685399822, 0.000035473271591, -0.000042723751086, -0.000073055817214, -0.000197799636524, -0.000031878056960, -0.009409748077393, 10.140347803115844, 0.069549617767334, -4.098145198822022, 0.059865493774414, 0.679852169036865, -0.103796772003174, 0.351500716236826, 0.935421222497368, 0.037873248956586, 35.738746296932050, -0.931726660414371, 0.353483995204853, -0.083273617713528, -84.805419204126721, -0.091283496635929, -0.006016779499425, 0.995806769210962, 1325.445451360198376, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
17, -1.201187459562689, 0.277188620304070, 0.000036372116155, -0.000065583637270, -0.000072864005529, -0.000119962097131, -0.000031788172504, 0.142490470886230, 30.208651952743530, 0.273356409072876, -12.116599864959717, 0.181797418594360, 1.996168788909912, -0.110304929733276, 0.339399507988410, 0.934922853271576, 0.103572353491465, 100.288496583119112, -0.899584402050580, 0.354787290791121, -0.254703517605072, -254.094918601509221, -0.274874294113738, -0.006725825126512, 0.961456647858780, 1291.425848532918963, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
18, -1.201201331275943, 0.462036630703418, 0.000037510616241, 0.000014950326731, -0.000072768186953, -0.000003535328020, -0.000031908000265, 0.262800821304321, 49.233146190643311, 0.441067829132080, -19.706752138137816, 0.298887281417847, 3.211692401885986, -0.114143074035645, 0.315265224888397, 0.934570921590309, 0.164878835797408, 160.683757575248677, -0.836531695192843, 0.355716776351338, -0.416749682615357, -414.009534146727162, -0.448132302912719, -0.006539689599130, 0.893943326808859, 1224.638503306542134, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
19, -1.201193122119816, 0.646789006877343, 0.000038589175176, 0.000020133518271, -0.000072624459089, 0.000122718462891, -0.000031758229199, 0.225161828994751, 66.700999246597291, 0.585449314117432, -26.604049358367917, 0.415096769332886, 4.310236051559448, -0.118148094177246, 0.279653367150308, 0.934142253137048, 0.221748157028497, 216.880248637472505, -0.744317325299474, 0.356828558205102, -0.564504295208022, -559.920458089512977, -0.606453389388280, -0.007185468203804, 0.795086571101638, 1127.235619047913588, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
