number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
10, -0.000000719021109, -0.000018575539208, -0.000063666229465, 0.000032267538091, -0.000080917478287, -0.000171164657714, -0.000024537693009, 0.122998849868774, 0.492667524337769, -0.020688810348511, -0.273796596527100, 0.026851434707642, 0.179558403015137, -0.310889688491821, 0.925618419620780, 0.378458084965660, 0.000138502187439, -0.981692166685737, -0.378457839345119, 0.925617256997582, 0.001535378291235, 0.731379775610541, 0.000452876312974, -0.001473591666056, 0.999998811714617, 1290.619586857625336, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
11, -0.000000778962261, -0.000018515598056, -0.000063666174923, 0.000032237540244, -0.000080917478287, -0.000171134714409, 0.299920447863277, 0.124343099594116, 0.481913526535034, -0.015846748352051, -0.276877908706665, 0.028171997070312, 0.170713983535767, -0.311557191848755, 0.996166244214287, 0.087472733224391, -0.001155348543086, -1.016776402422314, -0.087471818562129, 0.996166657100616, 0.000819901467735, 0.773023873025158, 0.001222638718310, -0.000715697727602, 0.999998996465160, 1290.564963552123345, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
12, -0.000000719021109, -0.000018395770295, -0.000063726116074, 0.000032237540244, -0.000080917478287, -0.000171134714409, 0.599995462303100, 0.125687349319458, 0.496028148651123, -0.017167310714722, -0.273796596527100, 0.025530872344971, 0.169045225143433, -0.330747913360596, 0.977389922573671, -0.211441567550490, -0.001184383056514, -1.071607339732251, 0.211441385966313, 0.977390639950095, -0.000277918312498, 0.756789882629563, 0.001216368397198, 0.000021206962950, 0.999999259998820, 1290.563973821656418, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
13, -0.000000749018956, -0.000018425768141, -0.000063636231618, 0.000032117767025, -0.000080821659711, -0.000171134714409, 0.900001177954178, 0.124343099594116, 0.485274150848389, -0.021128997802734, -0.281279783248901, 0.025530872344971, 0.171715238571167, -0.335754188537598, 0.870997364599928, -0.491286715260594, 0.000976866641672, -1.222429744794272, 0.491287574039778, 0.870996788591243, -0.001055394642841, 0.761396328171193, -0.000332346340393, 0.001399168395075, 0.999998965936322, 1290.713857412853486, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
14, -0.000000659079958, -0.000018425768141, -0.000063576345008, 0.000032237540244, -0.000080965474842, -0.000171164712255, 1.199979419777575, 0.127703723907471, 0.488634775161743, -0.018928060531616, -0.282600345611572, 0.024650497436523, 0.168711473464966, -0.327243520736694, 0.687715984278765, -0.725979489415470, -0.000711277401978, -1.110766848802602, 0.725979077316256, 0.687716351922316, -0.000773690958224, 0.815424665884574, 0.001050840866910, 0.000015707126859, 0.999999447743227, 1290.528650448438157, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
15, -0.000000719075651, -0.000018335883685, -0.000063636231618, 0.000032177653635, -0.000080917478287, -0.000171224598865, 1.499979293102613, 0.128375848770142, 0.497372398376465, -0.018928060531616, -0.278198471069336, 0.030372934341431, 0.165874584197998, -0.390322587966919, 0.444739895235122, -0.895659624645411, -0.000512217037287, -1.157400616419636, 0.895659430476128, 0.444739154597344, 0.001126484450956, 0.715252693341787, -0.000781143668379, -0.000959764596599, 0.999999234332951, 1290.644671799773960, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
16, -0.000000629136653, -0.000018335883685, -0.000063726116074, 0.000032237540244, -0.000080821659711, -0.000171134714409, 1.799975451276176, 0.125015224456787, 0.485274150848389, -0.019808435440063, -0.279959220886230, 0.026851434707642, 0.173383996963501, -0.374135631561279, 0.162815260083909, -0.986656298494883, -0.000734659230961, -1.135106104037050, 0.986656420970469, 0.162815602021597, -0.000432083428155, 0.890076270425832, 0.000545931820834, -0.000654506471719, 0.999999636789797, 1290.722777705859926, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
17, -0.000000659079958, -0.000018335883685, -0.000063726116074, 0.000032177653635, -0.000080917478287, -0.000171134714409, 2.100059004521189, 0.125687349319458, 0.491323274612427, -0.018928060531616, -0.282160158157349, 0.030813121795654, 0.176554637908936, -0.371799369812012, -0.139545951550963, -0.990215046870827, 0.001043243184493, -1.183801677890112, 0.990207580957626, -0.139548983586433, -0.003876569880840, 0.755968463392556, 0.003984221352284, 0.000492067677291, 0.999991941892342, 1290.841598724349296, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
18, -0.000000629136653, -0.000018305940380, -0.000063666229465, 0.000032177653635, -0.000080773663157, -0.000171194655560, 2.400073948000720, 0.121654600143433, 0.479225027084351, -0.019808435440063, -0.281279783248901, 0.024210309982300, 0.177555892944336, -0.397665124893189, -0.425975634356449, -0.904733779107653, 0.001244136731298, -1.245564108770729, 0.904730255230875, -0.425977448307261, -0.002525629329758, 0.836887314881679, 0.002814996358280, 0.000049751586556, 0.999996036652287, 1290.678987042151675, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
19, -0.000000659079958, -0.000018305940380, -0.000063816000531, 0.000032177653635, -0.000080821659711, -0.000171134714409, 2.700029239944393, 0.129720098495483, 0.487962650299072, -0.017607498168945, -0.278198471069336, 0.025090684890747, 0.175219631195068, -0.353776779174805, -0.673545406423408, -0.739137488400406, 0.003515498124875, -1.368817205695541, 0.739135874114311, -0.673553407813067, -0.001991587476946, 0.792891373634983, 0.003839932707810, 0.001257006182890, 0.999991837392814, 1290.779640276824694, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
20, 1.443551660059110, 2.053671215781773, -1.938043668932233, -1.082156213115909, 1.019883136590992, 0.897379838501172, -3.019439123462246, -0.081999233245850, 62.493497606277465, 21.280422286987303, 15.370905714035034, 2.179368085861206, 0.546351497650146, 0.069086597442627, 0.371493150784490, 0.247508870048729, 0.894836408606296, 532.524086213733995, 0.927277702761915, -0.147034216151009, -0.344292029012355, 481.649382500339698, 0.046356238855178, 0.957663979967953, -0.284131660663048, 132.503146222463585, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
21, 1.210126462913238, 2.056923854241723, -1.838610854660733, -1.653959235798995, 2.386716486726879, 0.423294387970570, -3.019439453002225, 0.731271850585937, 50.055827022552492, 24.094980869293209, 12.790526857376099, 0.209529228210449, 2.680860357284546, 0.067584714889526, 0.122229505911511, -0.179065307824965, 0.976214916613231, 636.556512880435548, -0.074043575241960, -0.982494230769320, -0.170946294111311, 189.475713694205012, 0.989736074340032, -0.051387761563946, -0.133348419981007, 239.031519497701510, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
22, 1.229241900853103, 1.946553607139488, -2.518509338768841, -1.459306032213824, 1.699322535030950, 1.160153863014766, -1.724619454117509, 0.071245235443115, 61.723242513656615, 16.486340723037721, 11.640317039489746, 1.488713970184326, 2.158372104644775, -0.271173238754272, 0.054189097024470, -0.367950728364774, 0.928264942384180, 535.065755869096279, -0.620018365252146, -0.741104424174055, -0.257568358343372, 386.422977762665198, 0.782713720662752, -0.561583915337214, -0.268295988640895, 433.504603375223610, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
23, 1.439669010863369, 1.730866051589568, -2.062592842034352, -1.719953545987514, 1.683191576576446, 0.706635289899358, 0.041048127450218, -0.065868236541748, 52.400870668411258, 24.538249635696410, 2.374811315536499, 0.799820604324341, 2.800510334014892, -0.287026443481445, -0.257652240768423, 0.125695803428526, 0.958027080946811, 536.434274708042722, -0.289952707807582, 0.935748751017885, -0.200752838593929, 289.123627879211881, -0.921706433774910, -0.329506964977869, -0.204651923931860, 436.398240327013127, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
24, 1.298130850783762, 2.058216802331354, -1.713879581267776, -1.386197586560211, 1.292778126675968, 0.308320011339679, -0.352577334423110, 0.666747863769531, 54.302311904907228, 24.369657840728760, 13.517716531753539, 1.130401382446289, 2.028375825881958, -0.008510667800903, -0.261729625810243, -0.172189405104294, 0.949656996890488, 634.715511890796506, -0.964846674679501, 0.070988541196337, -0.253044504739237, 285.800346584531667, -0.023843182110191, -0.982502639074647, -0.184716179254052, 136.389659303144384, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
25, 1.235013743243721, 1.611435490772807, -1.411500479745169, -1.653923972185080, 0.151401314962598, -0.252970149596771, -0.387019577303224, 0.727911226272583, 53.866774993896485, 28.034658584594727, 1.628253393173218, -0.533067007064819, 0.567377853393555, 0.026867010116577, -0.056627132651631, -0.207597734440335, 0.976573882767144, 636.168175990031727, -0.799473875710324, -0.576466573620352, -0.168901780793230, 189.901183835814095, 0.598025827121512, -0.790309730519403, -0.133325316208067, 238.201173498061593, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
26, 0.876300725386144, 1.293106554400286, -1.369643327283144, -1.826104477081166, -0.020985144784557, -0.923798882449683, -0.249519891269210, 0.756812595367432, 50.506822805404667, 25.599541587829592, -6.270910472869874, -1.905131301879883, 1.074847280502319, -0.231456789016724, 0.009004551235259, -0.003033317964561, 0.999954857500666, 638.044625924911543, -0.952156680020623, -0.305514606012686, 0.007647365887595, -2.584762306161416, 0.305477617427459, -0.952182558386279, -0.005639215885544, 343.419629846565670, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
27, 1.007795715491319, 0.894525405799880, -0.860759342850207, -1.672100835595188, 0.832222446587484, -0.472661874418627, 0.006880922498131, 0.042343866348267, 52.431116287231447, 17.406332502365110, -16.303222742080685, 0.541430568695068, 2.623788820266724, -0.275178258895874, -0.186089606397919, 0.103423501378599, 0.977074325603359, 636.319767654160842, -0.327538888994797, 0.931031313795117, -0.160931565980676, 191.224927670656342, -0.926330899078036, -0.349977530843809, -0.139380031990772, 338.510662334513370, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
28, 0.874539583562222, 0.745910650814726, -0.059557403269496, -1.985705410688553, 1.139401619634085, -1.165147599664823, 0.008838965059471, 0.571306133270264, 48.861461141586304, 2.796951084136963, -10.806161813735962, 0.934077777862549, 2.815529159545898, -0.277180768966675, -0.180345588801838, 0.185002368208057, 0.966048442034419, 435.201185097325890, 0.010382999193212, 0.982455838955358, -0.186206116522195, 289.424349453192121, -0.983548505121874, -0.023550971528452, -0.179102456188055, 238.582602606723526, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
29, 1.405542192830127, 0.916028341034594, -0.256617788136421, -1.201251305506524, 2.049144025067938, -1.295341252809868, 0.002346511237196, -0.149211719512939, 65.063030956268307, 7.044319829940795, -21.415119647979736, 2.020460414886474, 1.464669240951538, -0.020525728225708, -0.040375700001815, 0.441744092660010, 0.896232090169365, 332.342616782959453, 0.703663891001620, 0.649382487017754, -0.288373913617539, 585.105290244844582, -0.709384896477098, 0.619002861184519, -0.337058639550384, 330.863778710849203, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
30, 1.410246899847516, 1.026827653334664, -1.045577033117117, -1.115605083636512, 2.721173193677304, -0.821913796151631, 0.179395727322430, -0.127031599044800, 63.025148372650150, 19.508667783737181, -17.782692775726318, 1.589516897201538, -0.253484399795532, -0.276012638092041, 0.279060476684575, 0.346836680319635, 0.895449366261116, 533.009186629311557, 0.952587015280607, 0.017763320082877, -0.303747333779931, 485.230052745009118, -0.121256870615077, 0.937757314897884, -0.325435077525687, 430.973786479180376, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
